,Protocol,Service,Prediction
99,tcp,uucp,DoS
100,tcp,other,Probe
101,tcp,ftp,Normal
102,tcp,private,DoS
103,tcp,private,DoS
104,tcp,smtp,Normal
105,tcp,private,DoS
106,tcp,telnet,Normal
107,tcp,http,Normal
108,tcp,private,DoS
109,tcp,http,Normal
110,tcp,http,Normal
111,tcp,private,DoS
112,tcp,telnet,Normal
113,tcp,telnet,Normal
114,tcp,http,Normal
115,tcp,private,DoS
116,tcp,http,Normal
117,icmp,ecr_i,DoS
118,tcp,whois,DoS
119,udp,private,Normal
120,tcp,http,Normal
121,icmp,ecr_i,DoS
122,tcp,private,Probe
123,tcp,private,DoS
124,tcp,finger,Normal
125,udp,domain_u,Normal
126,tcp,telnet,Normal
127,tcp,private,DoS
128,tcp,http,Normal
129,udp,domain_u,Normal
130,udp,domain_u,Normal
131,tcp,http,Normal
132,tcp,telnet,Normal
133,tcp,http,Normal
134,tcp,telnet,Normal
135,tcp,http,Normal
136,tcp,private,DoS
137,udp,private,Normal
138,tcp,other,Probe
139,tcp,http,Normal
140,tcp,http,Normal
141,udp,domain_u,Normal
142,tcp,private,DoS
143,tcp,private,DoS
144,tcp,http,DoS
145,icmp,eco_i,Probe
146,tcp,telnet,DoS
147,tcp,private,DoS
148,tcp,http,Normal
149,tcp,telnet,Normal
150,tcp,telnet,Normal
151,tcp,private,DoS
152,icmp,ecr_i,DoS
153,tcp,smtp,Normal
154,tcp,http,Normal
155,tcp,private,DoS
156,tcp,telnet,Normal
157,tcp,other,DoS
158,tcp,other,DoS
159,tcp,private,DoS
160,tcp,private,DoS
161,tcp,other,DoS
162,tcp,other,Probe
163,tcp,private,DoS
164,tcp,ftp,Normal
165,tcp,other,DoS
166,tcp,private,DoS
167,tcp,ftp,Normal
168,tcp,http,Normal
169,tcp,private,DoS
170,tcp,telnet,Normal
171,tcp,http,Normal
172,tcp,private,DoS
173,tcp,private,DoS
174,tcp,http,DoS
175,tcp,http,Normal
176,tcp,private,Probe
177,tcp,other,Probe
178,tcp,telnet,Normal
179,tcp,smtp,Normal
180,icmp,ecr_i,DoS
181,udp,domain_u,Normal
182,tcp,http,Normal
183,tcp,http,Normal
184,udp,domain_u,Normal
185,tcp,other,Normal
186,tcp,private,DoS
187,tcp,other,DoS
188,udp,domain_u,Normal
189,tcp,private,DoS
190,tcp,http,Normal
191,tcp,telnet,Normal
192,tcp,finger,DoS
193,tcp,smtp,Normal
194,tcp,http,Normal
195,udp,domain_u,Normal
196,tcp,ftp,Normal
197,tcp,ftp,Normal
198,tcp,Z39_50,DoS
199,udp,private,Normal
200,tcp,telnet,Normal
201,tcp,http,Normal
202,tcp,http,DoS
203,tcp,http,Normal
204,tcp,http,Normal
205,tcp,other,Probe
206,tcp,whois,DoS
207,tcp,telnet,Normal
208,tcp,http,Normal
209,tcp,http,Normal
210,tcp,http,DoS
211,tcp,ftp_data,Normal
212,tcp,http,Normal
213,tcp,http,Normal
214,udp,private,Normal
215,icmp,ecr_i,DoS
216,tcp,http,Normal
217,udp,domain_u,Normal
218,tcp,http,Normal
219,udp,private,Normal
220,tcp,http,Normal
221,tcp,http,Normal
222,udp,private,Normal
223,tcp,private,DoS
224,tcp,http,Normal
225,tcp,http,Normal
226,tcp,http,Normal
227,tcp,private,DoS
228,udp,domain_u,Normal
229,tcp,http,Normal
230,udp,private,DoS
231,tcp,other,Normal
232,tcp,ftp_data,Normal
233,tcp,http,Normal
234,tcp,auth,DoS
235,icmp,ecr_i,DoS
236,tcp,http,Normal
237,udp,private,DoS
238,tcp,http,DoS
239,tcp,telnet,Normal
240,tcp,smtp,Normal
241,udp,domain_u,Normal
242,tcp,http,Normal
243,tcp,private,DoS
244,tcp,private,DoS
245,tcp,http,Normal
246,tcp,ftp,Normal
247,tcp,private,DoS
248,tcp,other,DoS
249,tcp,http,Normal
250,tcp,smtp,Normal
251,tcp,smtp,Normal
252,tcp,other,Normal
253,tcp,http,Normal
254,tcp,private,DoS
255,tcp,other,Probe
256,tcp,telnet,DoS
257,tcp,http,Normal
258,tcp,ftp,Normal
259,tcp,http,Normal
260,tcp,http,Normal
261,tcp,ftp_data,Normal
262,tcp,http,Normal
263,tcp,private,DoS
264,tcp,telnet,DoS
265,tcp,private,DoS
266,tcp,ftp,Normal
267,udp,domain_u,Normal
268,tcp,http,Normal
269,icmp,eco_i,Probe
270,tcp,uucp_path,DoS
271,tcp,http,Normal
272,tcp,private,DoS
273,tcp,private,Probe
274,tcp,private,DoS
275,udp,private,DoS
276,tcp,telnet,Normal
277,tcp,http,Normal
278,tcp,private,DoS
279,tcp,private,DoS
280,udp,private,Normal
281,tcp,ftp_data,Normal
282,tcp,ftp_data,Normal
283,tcp,other,DoS
284,tcp,finger,DoS
285,tcp,http,Normal
286,tcp,ftp,Normal
287,tcp,private,DoS
288,tcp,http,Normal
289,tcp,telnet,Normal
290,tcp,http,Normal
291,tcp,other,Probe
292,tcp,other,DoS
293,tcp,http,Normal
294,tcp,http,Normal
295,udp,private,DoS
296,tcp,other,Probe
297,tcp,http,Normal
298,tcp,other,DoS
299,tcp,http,Normal
300,tcp,private,DoS
301,tcp,http,Normal
302,udp,private,Normal
303,tcp,other,Normal
304,udp,private,Normal
305,tcp,http,Normal
306,tcp,other,Probe
307,tcp,ftp,Normal
308,tcp,private,DoS
309,tcp,other,DoS
310,tcp,other,Probe
311,tcp,http,Normal
312,udp,private,DoS
313,tcp,http,Normal
314,tcp,ftp_data,Normal
315,tcp,private,DoS
316,tcp,other,Normal
317,tcp,http,Normal
318,tcp,private,DoS
319,tcp,http,Normal
320,tcp,http,Normal
321,tcp,smtp,Normal
322,tcp,http,Normal
323,tcp,private,DoS
324,tcp,http,Normal
325,tcp,ftp_data,R2L
326,icmp,ecr_i,DoS
327,tcp,telnet,Normal
328,tcp,other,Probe
329,tcp,private,DoS
330,tcp,http,DoS
331,tcp,private,Normal
332,tcp,private,DoS
333,udp,domain_u,Normal
334,tcp,other,DoS
335,tcp,http,Normal
336,tcp,http,Normal
337,udp,private,DoS
338,tcp,private,DoS
339,tcp,private,Probe
340,tcp,other,Probe
341,tcp,http,DoS
342,tcp,http,Normal
343,udp,domain_u,Normal
344,tcp,http,DoS
345,udp,private,Probe
346,tcp,telnet,Normal
347,tcp,other,Probe
348,tcp,telnet,Normal
349,udp,domain_u,Normal
350,tcp,other,DoS
351,tcp,private,DoS
352,tcp,other,Normal
353,tcp,http,Normal
354,tcp,http,Normal
355,tcp,other,Normal
356,tcp,http,Normal
357,udp,domain_u,Normal
358,udp,private,DoS
359,tcp,other,DoS
360,tcp,http,Normal
361,tcp,http,Normal
362,tcp,private,DoS
363,tcp,http,Normal
364,tcp,http,Normal
365,tcp,smtp,Normal
366,udp,private,DoS
367,tcp,private,Probe
368,tcp,http,Normal
369,udp,private,Normal
370,udp,domain_u,Normal
371,tcp,private,DoS
372,tcp,http,DoS
373,udp,private,Normal
374,tcp,http,Normal
375,tcp,private,DoS
376,tcp,telnet,Normal
377,tcp,other,Normal
378,tcp,private,DoS
379,tcp,http,Normal
380,tcp,http,Normal
381,tcp,telnet,Normal
382,tcp,private,DoS
383,tcp,telnet,Normal
384,tcp,telnet,Normal
385,udp,domain_u,Normal
386,tcp,private,DoS
387,tcp,smtp,Normal
388,tcp,ftp_data,Normal
389,tcp,ftp,Normal
390,tcp,telnet,Normal
391,tcp,http,Normal
392,tcp,private,DoS
393,tcp,other,Probe
394,tcp,http,Normal
395,tcp,http,Normal
396,icmp,ecr_i,DoS
397,tcp,http,Normal
398,tcp,http,Normal
399,udp,private,DoS
400,tcp,private,DoS
401,tcp,http,Normal
402,tcp,other,Normal
403,tcp,http,DoS
404,tcp,http,Normal
405,tcp,other,DoS
406,tcp,http,Normal
407,udp,private,Normal
408,tcp,telnet,Normal
409,tcp,private,DoS
410,tcp,http,Normal
411,tcp,telnet,DoS
412,udp,private,DoS
413,tcp,other,Probe
414,tcp,http,Normal
415,tcp,http,Normal
416,tcp,http,DoS
417,tcp,Z39_50,DoS
418,tcp,smtp,Normal
419,tcp,smtp,Normal
420,tcp,other,DoS
421,tcp,http,Normal
422,tcp,http,Normal
423,tcp,private,DoS
424,tcp,http,Normal
425,tcp,ftp_data,Normal
426,tcp,other,Probe
427,tcp,other,Probe
428,tcp,private,DoS
429,udp,other,Normal
430,tcp,finger,DoS
431,tcp,http,Normal
432,tcp,smtp,Normal
433,udp,private,DoS
434,tcp,other,DoS
435,tcp,http,Normal
436,tcp,http,Normal
437,tcp,other,Probe
438,icmp,eco_i,Normal
439,tcp,other,Normal
440,tcp,http,Normal
441,tcp,http,Normal
442,tcp,http,Normal
443,tcp,http,Normal
444,icmp,ecr_i,DoS
445,tcp,http,Normal
446,tcp,smtp,Normal
447,tcp,http,Normal
448,udp,private,Normal
449,tcp,Z39_50,DoS
450,tcp,telnet,Normal
451,tcp,http,DoS
452,tcp,private,DoS
453,udp,private,Probe
454,udp,domain_u,Normal
455,tcp,http,Normal
456,tcp,other,Probe
457,tcp,private,Probe
458,tcp,other,Probe
459,tcp,telnet,Normal
460,tcp,http,Normal
461,tcp,other,DoS
462,tcp,http,Normal
463,tcp,http,Normal
464,tcp,private,DoS
465,tcp,other,Probe
466,tcp,http,Normal
467,tcp,http,Normal
468,tcp,http,Normal
469,udp,private,Normal
470,tcp,private,DoS
471,tcp,other,Probe
472,tcp,other,Normal
473,tcp,http,DoS
474,tcp,http,Normal
475,tcp,http,Normal
476,tcp,private,Probe
477,udp,private,DoS
478,tcp,telnet,Normal
479,tcp,http,Normal
480,tcp,http,Normal
481,tcp,ftp_data,R2L
482,tcp,telnet,Normal
483,tcp,http,Normal
484,tcp,private,DoS
485,udp,private,Probe
486,tcp,telnet,Normal
487,tcp,http,Normal
488,tcp,http,DoS
489,udp,domain_u,Normal
490,tcp,http,Normal
491,tcp,http,Normal
492,tcp,other,DoS
493,tcp,other,DoS
494,tcp,other,DoS
495,udp,other,Normal
496,icmp,eco_i,Probe
497,udp,domain_u,Normal
498,tcp,courier,DoS
499,udp,domain_u,Normal
500,icmp,other,Normal
501,tcp,private,DoS
502,tcp,telnet,Normal
503,tcp,other,DoS
504,tcp,http,DoS
505,icmp,ecr_i,DoS
506,tcp,http,Normal
507,tcp,telnet,Normal
508,tcp,private,DoS
509,udp,private,Normal
510,tcp,http,Normal
511,tcp,http,Normal
512,tcp,telnet,Normal
513,udp,private,Normal
514,icmp,ecr_i,DoS
515,icmp,ecr_i,DoS
516,icmp,eco_i,Probe
517,tcp,http,DoS
518,tcp,http,Normal
519,tcp,private,DoS
520,tcp,other,DoS
521,tcp,ftp_data,Normal
522,tcp,http,Normal
523,tcp,auth,Normal
524,tcp,ftp_data,R2L
525,udp,other,Normal
526,tcp,private,DoS
527,tcp,http,Normal
528,tcp,other,Normal
529,tcp,smtp,Normal
530,tcp,private,Probe
531,tcp,smtp,Probe
532,tcp,http,Normal
533,tcp,ftp_data,Normal
534,tcp,ftp,Normal
535,tcp,private,DoS
536,tcp,http,Normal
537,tcp,http,Normal
538,udp,domain_u,Normal
539,tcp,http,Normal
540,tcp,http,Normal
541,tcp,ftp,DoS
542,tcp,http,Normal
543,tcp,http,Normal
544,tcp,http,Normal
545,tcp,other,Normal
546,tcp,smtp,Normal
547,tcp,private,DoS
548,udp,private,Probe
549,tcp,http,Normal
550,tcp,http,Normal
551,tcp,private,DoS
552,tcp,http,DoS
553,tcp,http,Normal
554,tcp,http,Normal
555,udp,private,DoS
556,tcp,http,Normal
557,tcp,private,DoS
558,tcp,http,Normal
559,tcp,ftp_data,Normal
560,tcp,http,Normal
561,tcp,http,Normal
562,tcp,other,DoS
563,icmp,ecr_i,DoS
564,tcp,other,Probe
565,tcp,private,DoS
566,tcp,http,Normal
567,udp,domain_u,Normal
568,icmp,ecr_i,DoS
569,udp,private,Probe
570,tcp,http,Normal
571,tcp,http,Normal
572,tcp,http,Normal
573,tcp,http,Normal
574,udp,private,Normal
575,tcp,http,Normal
576,icmp,ecr_i,DoS
577,tcp,http,Normal
578,tcp,http,Normal
579,tcp,http,Normal
580,icmp,ecr_i,DoS
581,tcp,http,Normal
582,tcp,http,DoS
583,tcp,uucp_path,DoS
584,tcp,ftp_data,R2L
585,tcp,http,Normal
586,tcp,telnet,Normal
587,tcp,ftp,Normal
588,tcp,private,DoS
589,udp,private,Normal
590,icmp,ecr_i,DoS
591,tcp,other,Probe
592,tcp,http,Normal
593,tcp,http,DoS
594,udp,private,Probe
595,udp,domain_u,Normal
596,tcp,smtp,Normal
597,tcp,private,DoS
598,tcp,telnet,Normal
599,tcp,private,Probe
600,tcp,smtp,Normal
601,tcp,private,DoS
602,tcp,http,Normal
603,tcp,http,DoS
604,tcp,private,DoS
605,tcp,http,Normal
606,tcp,telnet,DoS
607,tcp,http,Normal
608,udp,private,Normal
609,icmp,ecr_i,DoS
610,tcp,private,DoS
611,tcp,private,DoS
612,tcp,other,Normal
613,tcp,private,DoS
614,tcp,smtp,Normal
615,tcp,private,Probe
616,tcp,http,DoS
617,tcp,http,Normal
618,tcp,http,DoS
619,tcp,http,Normal
620,tcp,private,DoS
621,tcp,http,Normal
622,tcp,ftp_data,Normal
623,tcp,other,DoS
624,tcp,telnet,Normal
625,tcp,telnet,Normal
626,udp,domain_u,Normal
627,tcp,private,DoS
628,tcp,http,Probe
629,tcp,telnet,Normal
630,tcp,private,DoS
631,tcp,telnet,Normal
632,tcp,http,Normal
633,tcp,http,DoS
634,tcp,http,Normal
635,tcp,private,DoS
636,tcp,telnet,Normal
637,tcp,other,DoS
638,tcp,http,Normal
639,tcp,private,DoS
640,udp,private,DoS
641,icmp,eco_i,Probe
642,tcp,other,Normal
643,tcp,http,DoS
644,tcp,other,Probe
645,udp,private,Probe
646,tcp,private,DoS
647,icmp,eco_i,Probe
648,tcp,http,Normal
649,tcp,http,Normal
650,tcp,other,DoS
651,tcp,other,DoS
652,tcp,http,Normal
653,tcp,smtp,Normal
654,tcp,http,Normal
655,tcp,http,Normal
656,tcp,other,Normal
657,tcp,ftp,Normal
658,tcp,http,Normal
659,tcp,http,Normal
660,tcp,http,Normal
661,tcp,other,Normal
662,tcp,ftp,Normal
663,tcp,http,Normal
664,tcp,http,Normal
665,tcp,ftp,Normal
666,tcp,private,DoS
667,tcp,private,DoS
668,tcp,http,Normal
669,tcp,http,Normal
670,tcp,other,Normal
671,udp,other,Normal
672,tcp,ftp_data,Normal
673,udp,private,Probe
674,tcp,smtp,Normal
675,tcp,http,Normal
676,udp,private,DoS
677,tcp,telnet,Normal
678,tcp,http,Normal
679,tcp,telnet,Normal
680,udp,domain_u,Normal
681,tcp,http,Normal
682,tcp,private,DoS
683,icmp,ecr_i,DoS
684,icmp,ecr_i,DoS
685,udp,private,Normal
686,tcp,http,DoS
687,tcp,telnet,DoS
688,tcp,http,Normal
689,tcp,other,Probe
690,tcp,http,Normal
691,icmp,ecr_i,DoS
692,tcp,http,Normal
693,tcp,http,Normal
694,tcp,http,Normal
695,tcp,other,Normal
696,tcp,private,DoS
697,tcp,finger,Normal
698,tcp,other,DoS
699,udp,domain_u,Normal
700,tcp,other,DoS
701,tcp,ftp_data,R2L
702,tcp,private,DoS
703,udp,other,Normal
704,tcp,http,Normal
705,tcp,smtp,Normal
706,tcp,private,DoS
707,tcp,http,Normal
708,tcp,uucp_path,DoS
709,tcp,other,Probe
710,tcp,http,Normal
711,tcp,http,Normal
712,tcp,other,Probe
713,tcp,private,DoS
714,tcp,private,DoS
715,udp,other,Probe
716,udp,domain_u,Normal
717,tcp,smtp,DoS
718,tcp,private,Probe
719,tcp,http,Normal
720,udp,private,Probe
721,udp,private,DoS
722,udp,private,DoS
723,tcp,http,Normal
724,icmp,ecr_i,DoS
725,icmp,ecr_i,DoS
726,icmp,eco_i,Probe
727,tcp,other,DoS
728,tcp,ftp_data,Normal
729,tcp,http,Normal
730,tcp,http,Normal
731,icmp,ecr_i,DoS
732,udp,private,Normal
733,tcp,http,Normal
734,tcp,ftp_data,Normal
735,tcp,other,Probe
736,udp,domain_u,Normal
737,icmp,eco_i,Probe
738,tcp,ftp_data,Normal
739,tcp,uucp_path,DoS
740,tcp,smtp,Normal
741,tcp,smtp,Normal
742,tcp,http,DoS
743,tcp,http,Normal
744,tcp,http,Normal
745,tcp,smtp,Normal
746,tcp,http,Normal
747,tcp,http,Normal
748,tcp,telnet,Normal
749,tcp,http,Normal
750,tcp,courier,DoS
751,icmp,ecr_i,DoS
752,tcp,telnet,Normal
753,udp,private,Normal
754,tcp,telnet,Normal
755,tcp,http,Normal
756,udp,domain_u,Normal
757,tcp,ftp,Normal
758,tcp,http,DoS
759,tcp,http,Normal
760,tcp,http,Normal
761,tcp,ftp_data,R2L
762,udp,domain_u,Normal
763,tcp,private,DoS
764,tcp,smtp,Normal
765,tcp,telnet,Normal
766,tcp,private,DoS
767,udp,domain_u,Normal
768,tcp,http,Normal
769,udp,private,Probe
770,tcp,private,DoS
771,udp,domain_u,Normal
772,tcp,ftp_data,Normal
773,tcp,http,DoS
774,tcp,ftp_data,Normal
775,tcp,http,Normal
776,tcp,http,Normal
777,tcp,private,DoS
778,tcp,private,DoS
779,udp,domain_u,Normal
780,tcp,smtp,Normal
781,tcp,private,DoS
782,tcp,private,DoS
783,tcp,http,Normal
784,tcp,http,Normal
785,tcp,http,Normal
786,tcp,http,Normal
787,tcp,http,DoS
788,tcp,http,Normal
789,icmp,ecr_i,DoS
790,tcp,other,Probe
791,tcp,smtp,Normal
792,tcp,ftp_data,R2L
793,tcp,smtp,Normal
794,tcp,http,Normal
795,tcp,http,Normal
796,tcp,other,Normal
797,tcp,http,Normal
798,tcp,http,DoS
799,tcp,private,Probe
800,tcp,http,Normal
801,tcp,private,DoS
802,tcp,http,Normal
803,tcp,private,DoS
804,tcp,http,Normal
805,tcp,telnet,Normal
806,tcp,ftp_data,Normal
807,tcp,http,Normal
808,tcp,telnet,Normal
809,tcp,private,DoS
810,tcp,telnet,Normal
811,icmp,eco_i,Normal
812,tcp,telnet,Normal
813,tcp,http,Normal
814,tcp,ftp_data,R2L
815,tcp,other,Normal
816,tcp,http,Normal
817,tcp,http,Normal
818,tcp,http,Normal
819,tcp,http,Normal
820,tcp,other,DoS
821,tcp,private,DoS
822,tcp,http,Normal
823,tcp,ftp_data,Normal
824,tcp,http,Normal
825,tcp,private,DoS
826,tcp,http,Normal
827,tcp,http,Normal
828,tcp,private,DoS
829,tcp,private,DoS
830,tcp,http,Normal
831,tcp,smtp,Normal
832,udp,private,Normal
833,tcp,smtp,Normal
834,tcp,http,Normal
835,tcp,telnet,Normal
836,tcp,ftp_data,Normal
837,udp,private,DoS
838,udp,domain_u,Normal
839,tcp,ftp,Normal
840,tcp,private,DoS
841,tcp,http,Normal
842,tcp,http,Normal
843,tcp,private,DoS
844,tcp,telnet,Normal
845,tcp,http,DoS
846,tcp,http,Normal
847,tcp,http,Normal
848,tcp,ftp,Normal
849,tcp,http,Normal
850,udp,domain_u,Normal
851,tcp,http,DoS
852,udp,domain_u,Normal
853,tcp,telnet,Normal
854,tcp,Z39_50,DoS
855,tcp,iso_tsap,DoS
856,tcp,smtp,Normal
857,tcp,private,DoS
858,tcp,telnet,DoS
859,tcp,other,Probe
860,tcp,ftp,Normal
861,tcp,private,DoS
862,tcp,http,DoS
863,tcp,private,DoS
864,udp,private,Normal
865,tcp,http,DoS
866,tcp,smtp,Normal
867,tcp,http,Normal
868,tcp,other,Probe
869,udp,private,Normal
870,tcp,telnet,Normal
871,tcp,http,Normal
872,tcp,private,DoS
873,tcp,http,Normal
874,tcp,private,DoS
875,udp,domain_u,Normal
876,tcp,other,Normal
877,tcp,http,DoS
878,tcp,other,DoS
879,tcp,private,DoS
880,tcp,http,Normal
881,tcp,other,Probe
882,tcp,private,DoS
883,tcp,ftp_data,Normal
884,tcp,http,Normal
885,tcp,http,Normal
886,tcp,private,DoS
887,tcp,auth,DoS
888,tcp,private,DoS
889,tcp,ftp_data,R2L
890,udp,private,Normal
891,tcp,http,DoS
892,tcp,http,Normal
893,tcp,other,Probe
894,tcp,telnet,Normal
895,tcp,telnet,Normal
896,tcp,private,DoS
897,tcp,private,DoS
898,tcp,http,Normal
899,tcp,http,Normal
900,icmp,eco_i,Probe
901,tcp,private,DoS
902,tcp,http,Normal
903,icmp,eco_i,Probe
904,tcp,smtp,Normal
905,tcp,smtp,Normal
906,tcp,ftp_data,Normal
907,tcp,private,DoS
908,tcp,ftp,Normal
909,tcp,private,DoS
910,tcp,http,Normal
911,tcp,private,DoS
912,tcp,http,Normal
913,tcp,http,Normal
914,tcp,private,DoS
915,tcp,http,Normal
916,udp,private,Normal
917,tcp,other,Probe
918,tcp,http,Normal
919,tcp,private,DoS
920,udp,private,Probe
921,tcp,other,Normal
922,tcp,private,DoS
923,udp,private,Normal
924,tcp,http,Normal
925,tcp,telnet,U2R
926,udp,private,Probe
927,tcp,other,Normal
928,tcp,ftp,Normal
929,tcp,http,Normal
930,udp,other,Normal
931,tcp,http,Normal
932,udp,domain_u,Normal
933,udp,domain_u,Normal
934,tcp,http,Normal
935,tcp,http,Normal
936,tcp,http,DoS
937,icmp,ecr_i,DoS
938,tcp,http,Normal
939,udp,private,Normal
940,icmp,eco_i,Probe
941,tcp,http,DoS
942,udp,private,DoS
943,tcp,time,DoS
944,tcp,private,DoS
945,udp,private,Normal
946,tcp,http,Normal
947,tcp,http,Normal
948,tcp,other,DoS
949,tcp,telnet,Normal
950,tcp,private,DoS
951,icmp,ecr_i,DoS
952,udp,domain_u,Normal
953,udp,private,Normal
954,udp,domain_u,Normal
955,tcp,other,DoS
956,tcp,http,Normal
957,udp,private,Normal
958,tcp,http,DoS
959,icmp,ecr_i,DoS
960,tcp,private,DoS
961,tcp,http,Normal
962,tcp,http,Normal
963,tcp,telnet,Normal
964,tcp,http,Normal
965,tcp,private,DoS
966,icmp,ecr_i,DoS
967,tcp,telnet,U2R
968,tcp,private,Probe
969,tcp,http,Normal
970,tcp,ftp_data,Normal
971,tcp,private,DoS
972,udp,private,Probe
973,icmp,ecr_i,DoS
974,tcp,other,DoS
975,tcp,other,DoS
976,tcp,http,Normal
977,tcp,http,Normal
978,tcp,http,Normal
979,icmp,ecr_i,DoS
980,tcp,private,DoS
981,tcp,private,DoS
982,tcp,telnet,Normal
983,tcp,other,Probe
984,tcp,http,Normal
985,tcp,ftp_data,R2L
986,tcp,ftp_data,Normal
987,tcp,private,DoS
988,tcp,http,Normal
989,tcp,private,DoS
990,tcp,telnet,Normal
991,tcp,http,Normal
992,icmp,ecr_i,DoS
993,tcp,smtp,Normal
994,tcp,http,DoS
995,tcp,telnet,Normal
996,tcp,private,DoS
997,tcp,other,Probe
998,icmp,ecr_i,DoS
999,tcp,other,Probe
1000,tcp,http,Normal
1001,tcp,http,Normal
1002,udp,domain_u,Normal
1003,tcp,private,Probe
1004,tcp,http,DoS
1005,tcp,private,DoS
1006,udp,domain_u,Normal
1007,tcp,private,DoS
1008,tcp,auth,DoS
1009,tcp,telnet,Normal
1010,udp,domain_u,Normal
1011,tcp,telnet,Normal
1012,tcp,other,DoS
1013,tcp,other,DoS
1014,tcp,private,DoS
1015,tcp,http,DoS
1016,icmp,ecr_i,DoS
1017,udp,private,DoS
1018,udp,domain_u,Normal
1019,tcp,http,Normal
1020,tcp,other,Probe
1021,icmp,ecr_i,DoS
1022,udp,private,Normal
1023,tcp,http,Normal
1024,tcp,http,Normal
1025,tcp,http,Normal
1026,tcp,ftp,Normal
1027,icmp,ecr_i,DoS
1028,tcp,private,DoS
1029,udp,private,Normal
1030,tcp,http,Normal
1031,udp,domain_u,Normal
1032,tcp,http,Normal
1033,tcp,http,Normal
1034,tcp,other,Normal
1035,tcp,private,Probe
1036,tcp,ftp_data,Normal
1037,tcp,http,Normal
1038,tcp,http,Normal
1039,tcp,telnet,Normal
1040,icmp,ecr_i,DoS
1041,tcp,http,Normal
1042,tcp,http,DoS
1043,tcp,http,Normal
1044,tcp,private,DoS
1045,tcp,private,DoS
1046,tcp,telnet,DoS
1047,tcp,smtp,Normal
1048,udp,other,Probe
1049,tcp,private,DoS
1050,tcp,http,Normal
1051,tcp,http,Normal
1052,tcp,http,Normal
1053,tcp,http,Normal
1054,udp,domain_u,Normal
1055,udp,domain_u,Normal
1056,tcp,http,Normal
1057,tcp,other,DoS
1058,tcp,telnet,Normal
1059,icmp,ecr_i,DoS
1060,icmp,eco_i,Probe
1061,tcp,other,Probe
1062,tcp,other,Normal
1063,tcp,http,Normal
1064,tcp,auth,Normal
1065,tcp,private,DoS
1066,tcp,other,DoS
1067,tcp,smtp,Normal
1068,tcp,private,DoS
1069,udp,private,DoS
1070,tcp,http,Normal
1071,tcp,private,DoS
1072,tcp,private,DoS
1073,tcp,http,Normal
1074,udp,private,Probe
1075,tcp,other,Normal
1076,udp,domain_u,Normal
1077,tcp,ftp_data,Normal
1078,tcp,other,DoS
1079,tcp,http,DoS
1080,tcp,http,Normal
1081,tcp,http,Normal
1082,tcp,http,Normal
1083,icmp,ecr_i,DoS
1084,udp,domain_u,Normal
1085,tcp,http,Normal
1086,tcp,private,DoS
1087,tcp,http,Normal
1088,tcp,http,Normal
1089,tcp,ftp,Normal
1090,tcp,ftp_data,Normal
